ID,Date,Trial#,Lever,NextLever,WSLS,LeverZmax,LeverZmin,LeverAUC,HLZmax,HLZmin,HLAUC,Shock
16,230109,46,3,2,1,0.984123248,-1.193106424,-15.55204052,2.558562758,-1.382474573,13.63438537,100
16,230109,47,2,2,4,1.343598692,-1.419282401,16.89839329,1.99521791,-2.532950663,-77.07575302,100
16,230109,48,2,2,4,1.521341335,-0.588821262,51.27950415,1.57761455,-1.22352015,7.436520605,100
16,230109,49,2,0,2,1.020509726,-1.421404532,15.01302278,2.195601352,-0.675842611,40.25787536,100
16,230109,51,2,3,4,0.840337861,-2.230045388,-94.78397059,-1.746602182,-4.715052025,-316.1139611,100
16,230109,52,3,3,1,1.47787691,-0.218683395,42.76416913,2.15806366,-0.112623051,88.19969682,100
16,230109,53,3,2,1,0.964045374,-1.475964178,-42.6976104,0.663043829,-1.871683413,-72.66078027,100
16,230109,54,2,2,4,2.103315635,-0.030050314,87.38259894,2.209322869,0.252647103,143.0238952,100
16,230109,55,2,1,2,0.697588864,-1.14765844,-20.30863514,3.584261354,-1.062064525,74.54067986,100
16,230109,56,1,3,0,0.682126741,-2.258219749,-101.7878228,1.846596528,-1.045277726,-4.080639119,100
16,230109,57,3,2,1,0.35195359,-2.416959048,-116.3524165,1.520663621,-2.783464872,14.03155578,100
16,230109,58,2,3,4,1.215911585,-1.430063436,-37.24846899,0.930091583,-2.099114759,-15.54409849,100
16,230109,59,3,2,1,2.805856859,-1.688324035,64.16621887,1.262207073,-1.929847236,-38.22935146,100
16,230109,60,2,9,0,1.882732053,-1.081863765,16.19734747,0.794084703,-3.134612799,-127.7356679,100
16,230110,1,3,3,1,0.371268349,-2.29290317,-113.7723734,1.066722096,-1.504968762,-23.62375714,100
16,230110,2,3,3,1,1.292280001,-2.030811251,-32.95059428,8.180356728,2.767199075,495.3676278,100
16,230110,3,3,3,1,0.21279835,-1.509237076,-37.6973458,2.684111056,0.83139303,152.863365,100
16,230110,4,3,3,1,1.191961346,-4.516836327,-162.9231166,-0.305302565,-3.145297376,-176.352817,100
16,230110,5,3,3,1,-0.635365281,-3.583103776,-213.1400732,1.545539227,-1.671924457,-21.02234251,100
16,230110,6,3,3,1,-0.309625454,-2.872227521,-149.6178938,0.519761824,-1.202324162,-31.91047587,100
16,230110,7,3,3,1,1.195146324,-1.407070455,22.4116191,1.760807105,-1.885440165,-6.637351005,100
16,230110,8,3,3,1,-0.545895788,-1.921711636,-132.5393917,3.891626653,0.388892258,202.8116381,100
16,230110,9,3,3,1,-0.423123362,-4.225697539,-176.1916847,3.337280474,-2.057905123,77.25600387,100
16,230110,10,3,3,1,4.054452677,0.723220061,187.8923922,4.239213435,-1.108540624,137.5476836,100
16,230110,11,3,3,1,2.287550477,-2.183959006,-30.95914827,1.316280259,-1.698138478,-53.40721521,100
16,230110,12,3,3,1,3.840323814,-0.516159608,103.5492495,1.785977734,-1.276270304,56.65237906,100
16,230110,13,3,3,1,2.793999099,-2.331523457,-11.32849197,1.357403819,-2.438799725,-53.11107576,100
16,230110,14,3,3,1,4.373476478,-1.555682661,15.75941502,1.79512168,-1.712663592,27.84432907,100
16,230110,15,3,3,1,0.716203233,-1.778101172,-81.15688165,0.077687445,-1.051628775,-58.57694424,100
16,230110,16,3,3,1,-0.187597605,-2.613050677,-130.0611432,0.612639504,-1.863041879,-62.62868171,100
16,230110,17,3,3,1,1.39871985,-1.689289933,-29.91491369,3.774691587,0.280865617,218.8879305,100
16,230110,18,3,3,1,0.374561773,-2.984112866,-141.037869,1.921602693,-2.088651089,-18.16758436,100
16,230110,19,3,3,1,-0.971745709,-3.176365605,-253.1558159,-0.573870744,-2.571325687,-138.6454127,100
16,230110,20,3,9,0,2.393687029,-1.504706057,63.26339769,6.632295589,1.581176336,407.3884127,100
16,230110,21,3,3,1,-0.476610969,-2.670233863,-178.8620762,0.284085298,-3.85679417,-123.9324774,100
16,230110,22,3,3,1,1.580144849,-1.733262322,-13.5699502,1.077580541,-1.05901476,-6.478881832,100
16,230110,23,3,3,1,2.833988654,-2.007721895,30.99404527,0.380697582,-2.788502917,-150.8640316,100
16,230110,24,3,2,1,5.865577767,-1.033638713,220.7058548,5.36965465,1.65403018,342.9510901,100
16,230110,25,2,2,4,2.767718481,-0.045706675,133.2475163,1.942388245,-1.452176621,27.49392907,100
16,230110,26,2,3,4,2.597018489,-1.755214294,-18.5287345,0.108268322,-1.581594399,-59.81826511,100
16,230110,27,3,2,1,2.852539298,-0.713600187,148.6182181,7.198634498,3.162474295,488.1200602,100
16,230110,28,2,3,4,4.253614092,0.883413615,282.5113607,3.114577349,-1.364956663,60.21443434,100
16,230110,29,3,2,1,2.333596268,-1.749537926,27.25076127,0.867157321,-0.788050911,-8.794514324,100
16,230110,30,2,3,4,0.342739185,-1.670223182,-81.5375525,1.005671211,-0.906743898,-11.82504309,100
16,230110,31,3,3,1,0.773259222,-2.071047995,-103.502829,3.616654673,-0.634522564,112.144114,100
16,230110,32,3,3,1,2.821260571,-1.347119733,28.27676747,2.23597629,-0.607739045,51.78109565,100
16,230110,33,3,3,1,1.466277107,-1.064198687,38.94314509,1.080866196,-0.950836453,21.02359098,100
16,230110,34,3,3,1,2.938344869,-0.007309981,128.583939,1.238810492,-1.373421339,-9.515135411,100
16,230110,35,3,2,1,2.863474032,-1.491128398,76.97640824,5.089461711,0.285337745,229.9126704,100
16,230110,36,2,3,4,1.950297171,-3.022046599,-158.5033736,0.129415349,-2.740269924,-143.4148303,100
16,230110,37,3,3,1,1.656871849,-0.906488189,68.76992472,2.05138315,-1.133808735,10.06441463,100
16,230110,38,3,3,1,0.392845135,-1.548539627,-55.25783929,-0.529636892,-1.784518043,-113.6204925,100
16,230110,39,3,3,1,1.582862897,-2.645461414,-107.9458547,0.415015219,-2.471896027,-84.57206421,100
16,230110,40,3,9,0,3.662453228,-0.938738384,55.18162474,2.271295502,-1.467193578,-14.87361808,100
16,230110,41,2,2,4,0.204397538,-3.519888248,-158.926667,-0.382113874,-3.366929656,-147.2863442,100
16,230110,42,2,2,4,0.703057014,-1.716024836,-36.83955928,2.058433764,-0.926197089,55.74288905,100
16,230110,43,2,2,4,3.618066647,-4.476698706,146.2914315,3.375142307,-0.212163968,131.6529132,100
16,230110,44,2,3,4,1.544307729,-0.672157567,44.30346554,0.912089095,-1.174675731,-1.279265439,100
16,230110,45,3,2,1,1.866438891,-1.856613017,12.84910553,1.481083704,-0.64410467,73.5448983,100
16,230110,46,2,2,4,1.984688538,-1.290893481,67.21995715,3.602513802,-1.835495474,-11.43090048,100
